Sample,Dil,abs_595
0,std,0.26
0,std,0.255
25,std,0.268
25,std,0.266
125,std,0.344
125,std,0.334
250,std,0.435
250,std,0.444
500,std,0.632
500,std,0.61
750,std,0.784
750,std,0.744
1000,std,0.858
1000,std,0.854
1500,std,0.97
1500,std,1.007
P410,10,0.536
P410,10,0.534
P411,20,0.83
P411,20,0.872
P423,10,0.675
P423,10,0.706
P425,10,0.662
P425,10,0.626
P428,20,0.786
P428,20,0.817
P431,10,0.829
P431,10,0.805
P433,10,0.669
P433,10,0.683
P436,10,0.271
P436,10,0.268
